video_id,title,channel_name,category,views,likes,comments,duration,upload_date
vid001,Python Basics,CodeHub,Education,10000,800,120,600,2024-01-01
vid002,Data Science Intro,TechWorld,Education,15000,1200,300,900,2024-01-02
vid003,AI Explained,FutureTech,Technology,25000,2000,450,1100,2024-01-03
vid004,React Tutorial,DevZone,Programming,18000,1500,320,800,2024-01-04
vid005,SQL Mastery,DatabasePro,Education,22000,1700,390,950,2024-01-05
vid006,Machine Learning 101,AI Lab,Technology,30000,2500,600,1200,2024-01-06
vid007,Python OOP,CodeHub,Programming,12000,900,200,700,2024-01-07
vid008,Statistics Basics,MathPro,Education,14000,1000,250,850,2024-01-08
vid009,Deep Learning Intro,AI Lab,Technology,35000,2800,750,1300,2024-01-09
vid010,Flask Tutorial,DevZone,Programming,16000,1100,270,780,2024-01-10
vid011,Streamlit Guide,DataGeek,Programming,19000,1400,330,820,2024-01-11
vid012,Data Visualization,TechWorld,Education,21000,1600,380,920,2024-01-12
vid013,Big Data Concepts,FutureTech,Technology,26000,2100,500,1000,2024-01-13
vid014,Python Projects,CodeHub,Programming,23000,1800,410,880,2024-01-14
vid015,AI vs ML Explained,AI Lab,Technology,28000,2300,550,1150,2024-01-15
vid016,Pandas Tutorial,DataGeek,Programming,17000,1300,290,760,2024-01-16
vid017,Linear Regression,MathPro,Education,24000,1900,420,970,2024-01-17
vid018,Neural Networks,AI Lab,Technology,32000,2600,680,1250,2024-01-18
vid019,Power BI Basics,TechWorld,Education,20000,1500,350,840,2024-01-19
vid020,Django Tutorial,DevZone,Programming,27000,2200,530,1050,2024-01-20